Year,Species,Tonnes,Days,CPUE,y,yhat1
2009,Saddletail Snapper,318.87794,2664,0.119698926426426,-0.175669166246447,-0.280627257244713
2010,Saddletail Snapper,252.38398,2059,0.122575998057309,0.0237515862705102,-0.265332211397399
2011,Saddletail Snapper,290.88612,2186,0.133067758462946,0.0821272306918024,-0.328192684577301
2012,Saddletail Snapper,77.96934,1717,0.0454102154921375,-1.07512137004121,-0.401372517523064
2013,Saddletail Snapper,74.30382,1949,0.0381240738840431,-0.174891147509745,-0.0700676655715697
2014,Saddletail Snapper,73.56911,1949,0.037747106208312,-0.00993712704314875,0.0205032310918645
2015,Saddletail Snapper,150.1009,2039,0.0736149583128985,0.667939427008488,0.0910319535551412
2016,Saddletail Snapper,109.57104,2079,0.0527037229437229,-0.334162145886233,-0.064368971165812
2017,Saddletail Snapper,111.63841,2254,0.0495290195208518,-0.0621273464035328,0.0464577312534034
2018,Saddletail Snapper,99.23366,2164,0.0458565896487985,-0.0770398404734522,0.0772747899910466
2019,Saddletail Snapper,77.79428,2076,0.0374731599229287,-0.201893968941629,0.11147057016837
2020,Saddletail Snapper,91.23886,2022,0.0451230761622156,0.185768840892963,0.21282363255296
1990,Redthroat Emperor,554.62701,10454,0.0530540472546394,,
1991,Redthroat Emperor,599.1515,10755,0.0557091120409112,0.0488325714802946,-0.0277379849635759
1992,Redthroat Emperor,641.80082,11049,0.0580867788940176,0.0417943552481046,-0.0725084544469828
1993,Redthroat Emperor,642.5635,12951,0.0496149718168481,-0.157645440871373,-0.0727335543906935
1994,Redthroat Emperor,670.66702,13788,0.0486413562518132,-0.0198185185933921,-0.01835358784749
1995,Redthroat Emperor,622.1781499,13866,0.0448707738280687,-0.0806874548954624,-0.0459501363772957
1996,Redthroat Emperor,728.742215,17488,0.0416709866765782,-0.0739815423426227,-0.0506494706106407
1997,Redthroat Emperor,947.47384,22094,0.0428837621073595,0.0286881251290247,-0.0313630711383074
1998,Redthroat Emperor,795.32704,19775,0.040218813653603,-0.0641583611467538,-0.0401004136934072
1999,Redthroat Emperor,771.40657,18799,0.0410344470450556,0.0200769983082294,-0.0420582931652208
2000,Redthroat Emperor,789.71233,19648,0.0401930135382736,-0.0207186978471086,-0.0484093340024008
2001,Redthroat Emperor,936.25163,24526,0.0381738412297154,-0.0515426914629726,-0.0648639341945253
2002,Redthroat Emperor,884.15439,26394,0.0334983098431462,-0.130655511363207,-0.0872231479257121
2003,Redthroat Emperor,908.56983,25348,0.0358438468518226,0.0676769312672167,-0.044616878803419
2004,Redthroat Emperor,441.50657,15172,0.0291000902979172,-0.208430639188231,-0.0401922408008817
2005,Redthroat Emperor,310.10455,11784,0.0263157289545146,-0.10057445766918,0.00781561643348561
2006,Redthroat Emperor,290.67797,11417,0.0254601007269861,-0.0330542701194059,0.0522191434269013
2007,Redthroat Emperor,353.24139,11811,0.0299078308356617,0.161007797559593,0.0435867751215694
2008,Redthroat Emperor,343.54511,11284,0.0304453305565402,0.0178122875351927,0.0159372633185271
2009,Redthroat Emperor,361.88818,11517,0.0314220873491361,0.0315784298934405,0.0274020407703842
2010,Redthroat Emperor,356.804975,11321,0.031517089921385,0.00301887150484115,0.0456549131222238
2011,Redthroat Emperor,314.489575,9411,0.0334172324938901,0.0585417739623821,0.0621441971352145
2012,Redthroat Emperor,293.88906,8647,0.033987401410894,0.0169181993476379,0.0185842169272572
2013,Redthroat Emperor,315.38006,8792,0.0358712534121929,0.0539463249144458,0.00827985644704288
2014,Redthroat Emperor,282.41208,8497,0.0332366811815935,-0.0762821132360161,-0.000277544666883345
2015,Redthroat Emperor,234.040165,8512,0.0274953201362782,-0.189638307558583,-0.074888433047629
2016,Redthroat Emperor,234.772845,8109,0.0289521328153903,0.0516280603567689,-0.0611623371378006
2017,Redthroat Emperor,243.29094,7384,0.0329483938244854,0.129298640232812,0.00260803270692977
2018,Redthroat Emperor,228.91034,7018,0.0326176033057851,-0.0100903925760849,0.00130180148654591
2019,Redthroat Emperor,226.50073,7094,0.0319284930927544,-0.0213533098171648,-0.0224072793521445
2020,Redthroat Emperor,160.69216,5455,0.0294577745187901,-0.0805409458149966,-0.0283910480936422
1990,School Mackerel,9.3508,153,0.061116339869281,,
1991,School Mackerel,1.71748,96,0.0178904166666667,-1.22851407099918,-0.344154300440447
1992,School Mackerel,11.678243,229,0.0509966943231441,1.04749562570209,0.981095733964599
1993,School Mackerel,29.86944,574,0.0520373519163763,0.020200953376897,-0.166195170175746
1994,School Mackerel,26.96344,576,0.0468115277777778,-0.105832274177457,-0.159469824416262
1995,School Mackerel,24.2233,665,0.036426015037594,-0.250846274427682,-0.0649314525273961
1996,School Mackerel,48.033006,1001,0.047985020979021,0.275605681066952,0.204321580561942
1997,School Mackerel,33.9421,948,0.0358039029535865,-0.292831990754864,-0.081516682360482
1998,School Mackerel,41.38901601,1122,0.0368886060695187,0.0298458162465294,0.240437268591557
1999,School Mackerel,89.60018603,1172,0.0764506706740614,0.728742980290863,0.195060393032224
2000,School Mackerel,95.21511703,1252,0.0760504129632588,-0.00524925620640859,-0.610971527490149
2001,School Mackerel,37.45032002,970,0.0386085773402062,-0.677921986173404,-0.612515692811782
2002,School Mackerel,90.591904,1764,0.0513559546485261,0.285306428976334,0.120805116217694
2003,School Mackerel,126.809251,2194,0.0577982000911577,0.118176743253966,-0.173363382218675
2004,School Mackerel,145.7784259,3530,0.0412970045042493,-0.336167667728981,-0.307806012549284
2005,School Mackerel,158.7729725,3965,0.0400436248423708,-0.0308204862949726,0.0601555325902532
2006,School Mackerel,160.7835176,3730,0.0431055006970509,0.0736811344697199,0.112892172233747
2007,School Mackerel,128.7648614,3108,0.0414301355855856,-0.0396420866212197,0.021653072881938
2008,School Mackerel,147.486373,3167,0.046569742027155,0.116942488788183,0.0606605462367771
2009,School Mackerel,146.5210552,3134,0.0467520916400766,0.00390797818325161,-0.0579237303864435
2010,School Mackerel,168.1411026,3058,0.0549840100065402,0.16218342011127,-0.0448594903216191
2011,School Mackerel,106.9325474,2286,0.0467771423447069,-0.161647743635327,-0.213341718153468
2012,School Mackerel,83.949331,2014,0.0416828853028798,-0.115304052007756,-0.0661024616191552
2013,School Mackerel,94.807841,1984,0.0477862101814516,0.136646487782154,0.0539907433794764
2014,School Mackerel,84.7833335,2022,0.0419304319980218,-0.130725243980214,-0.0977548426681589
2015,School Mackerel,99.129626,2297,0.0431561279930344,0.0288125595389821,-0.0193745424995559
2016,School Mackerel,97.001389,2463,0.0393834303694681,-0.0914792446570769,-0.0608148657054142
2017,School Mackerel,70.680052,2023,0.0349382362827484,-0.119763353874226,0.0929322279852611
2018,School Mackerel,112.488883,2489,0.0451944085978305,0.257391550622585,0.235938507037071
2019,School Mackerel,77.956808,2181,0.0357436075194865,-0.234601933090691,-0.0673664660082669
2020,School Mackerel,63.592317,1853,0.0343185736643281,-0.0406847286488281,0.182298743166385
1990,Grey Mackerel,305.40756,3600,0.0848354333333333,,
1991,Grey Mackerel,189.566878,2779,0.0682140618927672,-0.218062571729576,0.158773133177684
1992,Grey Mackerel,186.42699,1919,0.0971479885356957,0.353584741174381,0.208318242825055
1993,Grey Mackerel,121.964966,1010,0.120757392079208,0.217548037824887,0.185887539286184
1994,Grey Mackerel,183.82161,1142,0.160964632224168,0.287401156519747,0.168080504096364
1995,Grey Mackerel,187.753052,1606,0.116907255292653,-0.319803734579275,0.123634014163127
1996,Grey Mackerel,322.290368,1863,0.17299536661299,0.391883880908569,0.155247621006454
1997,Grey Mackerel,555.834386,2974,0.186897910558171,0.0772977233797405,0.0874995850475404
1998,Grey Mackerel,466.134017,2675,0.17425570728972,-0.0700387323746674,0.0671494299127375
1999,Grey Mackerel,403.963277,2102,0.192180436251189,0.0979109002996974,0.0873408343694171
2000,Grey Mackerel,469.4255495,1625,0.288877261230769,0.407567193417501,0.0883459972723479
2001,Grey Mackerel,549.95663,2385,0.23058978197065,-0.225361600045943,0.0325660735942665
2002,Grey Mackerel,462.5363349,2395,0.193125818329854,-0.177298411281855,0.0514666245186328
2003,Grey Mackerel,619.719055,3353,0.184825247539517,-0.043931114189087,0.0616768484416098
2004,Grey Mackerel,718.6459466,4128,0.174090587839147,-0.0598349872563426,0.0449646702320629
2005,Grey Mackerel,641.046446,4061,0.157854332922925,-0.0979031192544391,0.0434946476884648
2006,Grey Mackerel,831.1124658,4359,0.190665855884377,0.18884978609813,0.0530456188625319
